model,model_component,epoch,type,inference,MAE,MSE,RMSE,MAPE,R2,MDA,Spearman
20250703155621_t1_linear_regression.pt,main,1,train,0.0937032699584961,0.6867567300796509,0.7563952207565308,0.8697098486026996,0.2232847660779953,0.20661389827728271,0.5897683397683398,0.5322546317264557
20250703155621_t1_linear_regression.pt,main,1,val,0.0016069412231445312,0.673263669013977,0.7825931310653687,0.8846429398719964,0.23884300887584686,-0.01666581630706787,0.525,0.37386810981322566
20250703155621_t1_linear_regression.pt,main,2,train,0.016999483108520508,0.6865147352218628,0.7558566927909851,0.8694001913911596,0.22314909100532532,0.2071787714958191,0.5907335907335908,0.5321984817456602
20250703155621_t1_linear_regression.pt,main,2,val,0.001999378204345703,0.6731001734733582,0.7822830080986023,0.8844676410692492,0.23875612020492554,-0.01626288890838623,0.525,0.373077332292008
20250703155621_t1_linear_regression.pt,main,3,train,0.016484975814819336,0.686367928981781,0.7555333971977234,0.8692142412533997,0.2230686992406845,0.2075178027153015,0.5907335907335908,0.5321560894786338
20250703155621_t1_linear_regression.pt,main,3,val,0.0019998550415039062,0.6729761958122253,0.782048761844635,0.8843352089816593,0.23869025707244873,-0.015958666801452637,0.525,0.373077332292008
20250703155621_t1_linear_regression.pt,main,4,train,0.017171621322631836,0.6862517595291138,0.7552764415740967,0.8690664195411629,0.22300507128238678,0.20778733491897583,0.5907335907335908,0.5321516197877662
20250703155621_t1_linear_regression.pt,main,4,val,0.0019981861114501953,0.6728713512420654,0.7818512320518494,0.8842235192822284,0.23863452672958374,-0.015702009201049805,0.525,0.37323261224162885
20250703155621_t1_linear_regression.pt,main,5,train,0.01611638069152832,0.6861515641212463,0.7550559639930725,0.8689395629116403,0.2229502946138382,0.20801860094070435,0.5907335907335908,0.5321457859894403
20250703155621_t1_linear_regression.pt,main,5,val,0.0009932518005371094,0.6727787256240845,0.78167724609375,0.8841251303371882,0.23858533799648285,-0.015475988388061523,0.525,0.37323261224162885
20250703155621_t1_linear_regression.pt,main,5,test,0.005008220672607422,0.7264324426651001,0.8598241209983826,0.927267017098302,0.2089306116104126,0.23810899257659912,0.5342465753424658,0.5535619793279136
